sequence,n,m4_c_pub,m3_c_pub,m4_f_pub,m3_f_pub,m4_f_w50,m3_f_w50,m4_c_dec,m3_c_dec,m4_f_dec,m3_f_dec
01e21524_03,4863,0.0016049500622550698,0.0002584833132233885,0.0016024490019332475,0.000248635139965696,0.007333983314775731,6.522942126901188e-05,0.0036250312901125524,0.009998694841523067,0.00775311848861101,0.006203777838337998
01e21524_04,6175,0.001890814766103668,0.000279443742178646,0.0018893558561004558,0.0002685312200176524,0.006208775788433552,8.341330116898681e-05,0.00356793094107083,0.009209072018999195,0.006606213518985114,0.006307442244852911
01e21524_05,1394,0.0016968412052885517,0.0004527720889159167,0.0017368188370554976,0.0004424575019356465,0.01714036747595503,0.0001145081620777964,0.005125858473614384,0.024349076118823903,0.01960201393958108,0.01070886404589694
01e21524_06,58733,0.0030823125593794462,0.00022587184331883305,0.003082510738765829,0.00021587412094129462,0.0063621326357488055,7.052827633239086e-05,0.003830825028719586,0.008125243095392188,0.006751182273726836,0.004657560883285448
01e21524_07,5164,0.0017073595842503266,0.00024086382502893006,0.001701693610535315,0.00023154790742801302,0.007750909481590386,8.242027247256702e-05,0.003637954053591061,0.010700674603099465,0.008443361536136723,0.007159842429809105
01e21524_08,57369,0.0032985052021183054,0.00021092749241800196,0.0032987506197556804,0.0002033389980017463,0.006528364133510191,6.751225841866872e-05,0.003987399661942507,0.008668387446519783,0.006946889522750775,0.0055245259644821085
01e21524_09,9481,0.00464979034694136,0.0002580319093343891,0.004649929291537382,0.0002432150936621534,0.007850227893358755,6.32547035095133e-05,0.005405293370060772,0.009500765710524908,0.008221232448540927,0.006006960823401759
01e21524_10,13734,0.0010983049233969696,0.0001366321779030439,0.0010987068911406466,0.00013162824595105505,0.003367165530273293,3.21003575401512e-05,0.0017166563268555066,0.0043792672706377146,0.00369512433725842,0.0024203114923482243
01e21524_11,60708,0.0015003766390229044,0.00013519837923055614,0.0015004895585091645,0.00012911812090497414,0.002929196054713707,4.344071055623736e-05,0.001954208323179766,0.0043061459501497,0.0030604166187417608,0.0032562592451473005
01e21524_12,49072,0.0037883336673742614,0.00019995758175962518,0.0037878547106385036,0.00019024477577943717,0.006011995797877229,5.9609950135981155e-05,0.004316818386876814,0.00702473719500984,0.006288186207928611,0.004359688574110371
01e86404_00,2415,0.006718523281242582,0.0001709260881268563,0.006719077023428166,0.00016256899284460395,0.00784246019435008,5.576605884250522e-05,0.006920739796777425,0.0073098082496302385,0.00808208884603617,0.005412217459173611
01e86404_01,288591,0.013295665793376241,0.00028928475426528137,0.013295406699664225,0.00028156805840930083,0.014398303585105767,8.257630240076055e-05,0.013530500509882762,0.008901223742805803,0.014574681581279166,0.005902561110467926
020829cb_00,22668,0.012882055039679315,0.00015080308181595448,0.012881865183141059,0.00014179875365387596,0.013249884227151234,4.4840188072353675e-05,0.013001008169787186,0.005467112557475735,0.013296236296686869,0.004287658937213207
020829cb_01,156553,0.01688318710517494,0.0002337150559081109,0.016883196403156137,0.00021722447988808082,0.017571188701147752,4.452496257531824e-05,0.01704156585505217,0.006772443170435168,0.017654985720392678,0.003982170233138505
020829cb_02,18230,0.0015755746513944622,0.0003019061229434601,0.0015751794949884173,0.0002993276699102227,0.005724290861712998,0.00011548619259375331,0.0028269587419467567,0.010187729105328247,0.006182280191887068,0.007586616284475372
0209f084_00,10476,0.0032634390419445415,0.00011431304881744211,0.003262756939341238,0.0001095644463078265,0.0039054754572977286,4.371232751851396e-05,0.003618671882033896,0.004794623874644447,0.004176028402378485,0.0037799247986295328
0209f084_01,124471,0.0059196824798597985,0.0003436326384695842,0.005919910091241746,0.00032471133870986884,0.010659392746934377,9.509379839672855e-05,0.006918908889587453,0.011862318978952407,0.01125300095280935,0.006292854646649512
021286dc_00,14620,0.0037062213466686968,0.00024740966492934274,0.0037066609134496615,0.0002310415131599844,0.006223797511605177,4.63089032921505e-05,0.004399536352216801,0.007199973187420477,0.006566422604678773,0.004295405781059498
021286dc_01,47636,0.0045453345267601804,0.00035881371954238995,0.0045444906779958235,0.00034121243781933235,0.010738940835236443,8.959157814743027e-05,0.006047941961486544,0.01325980934693209,0.011371322998845641,0.007745666100538953
021286dc_02,46155,0.005976538057761517,0.0003407265779463534,0.0059762966203985865,0.0003234100621260435,0.010686013690959112,7.742414610751168e-05,0.007022973391918324,0.01158804808320237,0.011225964984713921,0.005930134361367102
024e8e83_00,261490,0.011444514396072396,0.00030610485907418914,0.011443889132544273,0.00029210569968462217,0.013636858360006734,9.04460603108221e-05,0.011938979687813392,0.010796326726783495,0.013955142616454716,0.006649201071675421
