dataset,sequence,L_poly,central,family_a_W5
KITTI-360,2013_05_28_drive_0007_extract,4894.276205764656,0.0006603786904859652,0.00038231641940484294
KITTI-360,2013_05_28_drive_0008_extract,7122.3458357219915,0.002921799363755503,0.00038490402349376123
KITTI-360,2013_05_28_drive_0009_extract,10556.114512616177,0.0035204288611069543,0.002902078989680269
KITTI-360,2013_05_28_drive_0010_extract,3339.2006209999117,0.0038075915632534733,0.005748005810186098
Boreas,boreas-2020-11-26-13-58,7944.478784067973,0.0012853026587656532,8.996288575428883e-05
Boreas,boreas-2021-06-17-17-52,7957.957221054953,0.0019053872862760737,0.0006511659444942865
Boreas,boreas-2021-09-02-11-42,7963.028645914778,0.0014262293547451707,0.0005561951275996137
Pit30M,00682fa6_00,1692.313013326703,1.4448255253976004e-05,6.319104123462218e-07
Pit30M,00682fa6_01,1094.765592480807,1.3336503256298819e-05,2.39783222112088e-06
Pit30M,00682fa6_02,2676.37455186932,2.599044719323238e-05,2.1629021018537325e-06
Pit30M,00682fa6_03,6.0563285167314795,0.009803932554961958,0.0072317393242939815
Pit30M,00a05077_00,549.2539414150439,2.7202893821474972e-05,2.163516483074451e-05
Pit30M,00a05077_01,2876.4558454342773,5.8602311201114925e-05,4.50652366556591e-05
Pit30M,00a05077_02,271.44213209792963,1.0309503350040775e-06,6.819511036255489e-06
Pit30M,00a05077_03,5004.750476653609,0.00012009296577209228,8.204010698299448e-05
Pit30M,00a05077_04,1073.4352607155215,0.00011854439250212456,6.455676993320469e-05
Pit30M,0106abc2_00,11668.574881143391,7.0897172530359895e-06,1.5363005473514435e-06
Pit30M,0106abc2_01,506.80753725158013,9.352336722623411e-06,2.8014765884367997e-07
Pit30M,017be362_00,555.6908756282162,0.00011999019741616461,5.402483438086236e-05
Pit30M,017be362_01,98.96567450097776,5.000516244510659e-05,9.575311388128272e-06
Pit30M,017be362_02,929.5582222676961,6.803016248845811e-05,1.038916777673521e-05
Pit30M,017be362_03,268.3190169347194,3.622540480094269e-05,1.0003618135062149e-05
Pit30M,017be362_04,1343.818217903785,5.7186874801712085e-05,9.26375932526001e-07
Pit30M,017be362_05,5199.295776880464,4.4178953103610733e-05,3.0561651981705876e-06
Pit30M,017be362_06,270.77203903305457,6.14031875281705e-05,3.1953603074092195e-05
Pit30M,017be362_07,1147.562550586497,0.00012027224459318315,5.359714779129607e-05
Pit30M,01959149_00,10016.805735434453,1.186549543224612e-05,1.038060837023831e-06
Pit30M,01959149_01,1650.385535593291,2.0310197443287543e-05,4.221373828549435e-06
Pit30M,01959149_02,64.62085099089548,0.0001378670804471588,2.5974715912733595e-05
Pit30M,01959149_03,1127.6303834127186,3.402649271480622e-05,5.472581440635593e-07
Pit30M,01959149_04,93.14265913635663,1.69833810374152e-05,1.9173728643151123e-05
Pit30M,01959149_05,4668.351205390351,1.0563596221584579e-05,3.031909738378392e-07
Pit30M,01959149_06,5429.277274911998,1.165548491487145e-05,2.5705180990413554e-06
Pit30M,01959149_07,2629.6636769135494,2.818847013543535e-05,2.579236743675962e-06
Pit30M,01d09d4c_00,131.5531102627181,4.985450707116578e-05,7.481962016165343e-07
Pit30M,01d09d4c_01,7637.629722610164,1.892022976995771e-05,3.875357394856595e-06
Pit30M,01e21524_00,329.8143154381974,5.3483622643846126e-05,1.6939379667313999e-06
Pit30M,01e21524_01,193.6150330763748,6.996702740199664e-05,1.963074472459895e-05
Pit30M,01e21524_02,289.3331034330472,6.951963611964495e-05,1.633305922499991e-05
Pit30M,01e21524_03,227.63050458483352,2.681500923739572e-05,5.033238685308157e-06
Pit30M,01e21524_04,271.34453589316405,5.037340340568615e-05,1.561184011442518e-05
Pit30M,01e21524_05,80.39284297153756,3.486938937641715e-06,1.4869673444801302e-05
Pit30M,01e21524_06,3250.8805780839452,2.145061972502293e-05,7.057915182355713e-06
Pit30M,01e21524_07,110.61040530776553,5.824481648491647e-05,4.1081730835003384e-05
Pit30M,01e21524_08,2275.5382083173927,3.645547631096984e-05,1.1101701217594746e-05
Pit30M,01e21524_09,1043.8257906200836,7.656799219517551e-06,3.710148201513897e-06
Pit30M,01e21524_10,141.01165539446671,0.00017775537352367998,0.0001740779581964307
Pit30M,01e21524_11,2374.337050403128,1.908955726232129e-05,1.008781606339825e-05
Pit30M,01e21524_12,2880.3543538103995,2.134832857549398e-05,6.22642833941436e-06
Pit30M,01e86404_00,199.02217029515938,2.649503496912984e-07,8.094462417179209e-07
Pit30M,01e86404_01,28273.1796072942,8.476122696499602e-06,2.7610088928346125e-06
Pit30M,020829cb_00,1931.2589383758402,4.666891639354434e-06,3.815071697731997e-06
Pit30M,020829cb_01,18093.180657764286,4.2671830754589895e-06,1.5413530803749906e-06
Pit30M,020829cb_02,425.03087538115363,5.5641614313672825e-05,2.4570125474751815e-05
Pit30M,0209f084_00,116.41685912378951,0.00013837291160201718,6.631809131650257e-05
Pit30M,0209f084_01,7782.986449085647,1.8254590868294446e-05,6.4400239087353915e-06
Pit30M,021286dc_00,827.2941834173281,2.0505813381048713e-05,1.2105693288287802e-05
Pit30M,021286dc_01,4126.406492168835,7.2132057882255785e-06,1.3389471814086792e-06
Pit30M,021286dc_02,3955.3555055358156,1.1545436430751043e-05,1.8999473773845733e-06
Pit30M,024e8e83_00,17834.888933572227,1.686726204671223e-05,7.213311806847336e-07
