dataset,sequence,method,kappa_bin,n,rmse_vs_ref
Oxford,2015-03-24-13-47-33_rtk,family_a_W5,5e-03-2e-02,3686,0.14519284776798425
Oxford,2015-03-24-13-47-33_rtk,family_a_W5,2e-02-1e-01,2809,0.10913502997999634
Oxford,2015-03-24-13-47-33_rtk,family_a_W5,1e-01-1e+00,4466,0.03491445875504353
Oxford,2015-05-19-14-06-38_rtk,central,0e+00-1e-03,4715,0.313213343122065
Oxford,2015-05-19-14-06-38_rtk,central,1e-03-5e-03,5891,0.29757951608083966
Oxford,2015-05-19-14-06-38_rtk,central,5e-03-2e-02,3540,0.23795830848052268
Oxford,2015-05-19-14-06-38_rtk,central,2e-02-1e-01,2925,0.1764757510550374
Oxford,2015-05-19-14-06-38_rtk,central,1e-01-1e+00,5000,0.04742673763873837
Oxford,2015-05-19-14-06-38_rtk,family_a_W5,0e+00-1e-03,4715,0.1984155247666875
Oxford,2015-05-19-14-06-38_rtk,family_a_W5,1e-03-5e-03,5891,0.18715055166941236
Oxford,2015-05-19-14-06-38_rtk,family_a_W5,5e-03-2e-02,3540,0.14942909700286458
Oxford,2015-05-19-14-06-38_rtk,family_a_W5,2e-02-1e-01,2925,0.11143137523941811
Oxford,2015-05-19-14-06-38_rtk,family_a_W5,1e-01-1e+00,5000,0.0317572666818101
Oxford,2015-07-08-13-37-17_rtk,central,0e+00-1e-03,5546,0.46269681643505367
Oxford,2015-07-08-13-37-17_rtk,central,1e-03-5e-03,5457,0.4900808443402332
Oxford,2015-07-08-13-37-17_rtk,central,5e-03-2e-02,3319,0.3583247350923071
Oxford,2015-07-08-13-37-17_rtk,central,2e-02-1e-01,3220,0.2612066609677181
Oxford,2015-07-08-13-37-17_rtk,central,1e-01-1e+00,9629,0.062158179576443685
Oxford,2015-07-08-13-37-17_rtk,family_a_W5,0e+00-1e-03,5546,0.28017114230568624
Oxford,2015-07-08-13-37-17_rtk,family_a_W5,1e-03-5e-03,5457,0.2910330458575002
Oxford,2015-07-08-13-37-17_rtk,family_a_W5,5e-03-2e-02,3319,0.21884458403947168
Oxford,2015-07-08-13-37-17_rtk,family_a_W5,2e-02-1e-01,3220,0.14792950829796495
Oxford,2015-07-08-13-37-17_rtk,family_a_W5,1e-01-1e+00,9629,0.04256955468385442
Oxford,2015-08-12-15-04-18_rtk,central,0e+00-1e-03,5560,0.39774150619979154
Oxford,2015-08-12-15-04-18_rtk,central,1e-03-5e-03,6835,0.42962336950125585
Oxford,2015-08-12-15-04-18_rtk,central,5e-03-2e-02,3815,0.34935480498661725
Oxford,2015-08-12-15-04-18_rtk,central,2e-02-1e-01,2965,0.2575157785288919
Oxford,2015-08-12-15-04-18_rtk,central,1e-01-1e+00,3736,0.08903911513560303
Oxford,2015-08-12-15-04-18_rtk,family_a_W5,0e+00-1e-03,5560,0.23719227180215866
Oxford,2015-08-12-15-04-18_rtk,family_a_W5,1e-03-5e-03,6835,0.25550295370360726
Oxford,2015-08-12-15-04-18_rtk,family_a_W5,5e-03-2e-02,3815,0.2119775401888254
Oxford,2015-08-12-15-04-18_rtk,family_a_W5,2e-02-1e-01,2965,0.15593113673991843
