scene,method,n,dt_med,m1_path_len_err,m3_low_speed_rms,m4_smooth,m4_lag_s,m8_rmse_vs_can,m8_bias
scene-0234,family_a_W7,193,0.1000000000000002,0.00039454140172612284,0.0358808241051392,0.01266635702573697,0.0,0.09952226412261699,0.029898950251214987
scene-0234,family_a_midspan_W5,193,0.1000000000000002,0.0002772715978740514,0.05842267945674988,0.012927469525743552,0.0,0.08051384625822328,0.02922460262878451
scene-0285,forward,195,0.09997250000000069,6.02997042935538e-05,,0.20563499595844856,0.0,0.18063939963512043,0.0996685880447977
scene-0285,central,195,0.09997250000000069,2.669155180434757e-06,,0.10299439353323196,0.0,0.16432061876755297,0.09913963602199036
scene-0285,cubic_global,195,0.09997250000000069,2.0291088400181678e-05,,0.17528250156008196,0.0,0.17852961482206192,0.09966960082122454
scene-0285,savgol_w7p3,195,0.09997250000000069,0.003676149424603814,,0.14137479841950365,0.0,0.21241237510656816,0.12391377995783963
scene-0285,smoothing_spline,195,0.09997250000000069,0.0021381455271249905,,0.0008638940614495763,0.0,0.14260273094402443,0.09487045566624339
scene-0285,family_a_W3,195,0.09997250000000069,7.3666752315793e-05,,0.07211936531696124,0.0,0.1636368768238862,0.09878975531128245
scene-0285,family_a_W5,195,0.09997250000000069,3.370821261783341e-06,,0.038121176897934206,0.0,0.1481771735153706,0.0985225787560866
scene-0285,family_a_W7,195,0.09997250000000069,4.1224245589166486e-05,,0.021239073929418303,0.0,0.13380482941472507,0.0983965709420944
scene-0285,family_a_midspan_W5,195,0.09997250000000069,7.34719306627607e-05,,0.019286093235494028,0.0,0.11393965817318799,0.0984862075186788
scene-0347,forward,190,0.10001000000000104,0.002826965131620063,0.12158290358849894,0.17379337595183855,0.0,0.18771124049708898,0.02357727432178421
scene-0347,central,190,0.10001000000000104,1.7801404175399327e-05,0.10730975272966979,0.09074704903164993,0.0,0.15685007363461834,0.045907343795284765
scene-0347,cubic_global,190,0.10001000000000104,6.671094766286245e-05,0.10947579048170326,0.15096679255470374,0.0,0.16728899938175512,0.04650563231202599
scene-0347,savgol_w7p3,190,0.10001000000000104,0.007554634322172626,0.10428604368811371,0.16618811041703324,0.0,0.2546474028415216,0.09638953815961046
scene-0347,smoothing_spline,190,0.10001000000000104,0.014374779040863928,0.5494875536610118,0.010700555808343944,0.0,0.29279099872972664,0.10076373437514854
scene-0347,family_a_W3,190,0.10001000000000104,2.5903914581792975e-05,0.1043449437487685,0.06591018595377474,0.0,0.15524662609456166,0.04551129840606916
scene-0347,family_a_W5,190,0.10001000000000104,1.4575114213544182e-05,0.09894446064543154,0.02633589547867338,0.0,0.14519435192897315,0.04552745916181918
scene-0347,family_a_W7,190,0.10001000000000104,5.630457884753248e-05,0.09686535677267531,0.015295879823222103,0.0,0.14094651519820864,0.04572599793314134
scene-0347,family_a_midspan_W5,190,0.10001000000000104,0.0003475886363818459,0.15036406321673929,0.01694334533159375,0.0,0.1323297247542999,0.04974195857356527
scene-0398,forward,196,0.10000499999999946,0.0018284260343350844,,0.13510319416132702,0.0,0.16907864139602294,0.07151359501700424
scene-0398,central,196,0.10000499999999946,8.025261514221782e-06,,0.07130830894011923,0.0,0.139367632557616,0.06380939228784262
scene-0398,cubic_global,196,0.10000499999999946,2.50087091036022e-05,,0.12004663658635732,0.0,0.14664858343189982,0.06385763563811253
scene-0398,savgol_w7p3,196,0.10000499999999946,0.006784223279722168,,0.11080344596791034,0.0,0.18684200527262393,0.08604368152594097
scene-0398,smoothing_spline,196,0.10000499999999946,0.03324120225261207,,0.006615544341281196,0.0,0.6920915746109836,0.05707539806514353
scene-0398,family_a_W3,196,0.10000499999999946,5.039902022407894e-05,,0.04871920949325043,0.0,0.13959324276005539,0.06379797273886291
scene-0398,family_a_W5,196,0.10000499999999946,0.00011929933053178576,,0.023863289158045694,0.0,0.1340839066359396,0.06354017055769635
scene-0398,family_a_W7,196,0.10000499999999946,0.0001873034902226678,,0.016162884643009575,0.0,0.12995259235037743,0.06355289156234324
scene-0398,family_a_midspan_W5,196,0.10000499999999946,0.0001939090918620101,,0.014805812277125938,0.0,0.11047432038764428,0.06418552165290498
scene-0450,forward,195,0.10000650000000011,0.0003525030157545128,,0.2064568727249644,0.0,0.21825216129176014,0.14914739545443748
scene-0450,central,195,0.10000650000000011,8.734051078485017e-06,,0.10293647371131612,0.0,0.20518632286735305,0.14764117010693992
scene-0450,cubic_global,195,0.10000650000000011,8.867620751029648e-07,,0.17975010018971022,0.0,0.2165293740261581,0.14770366212763572
scene-0450,savgol_w7p3,195,0.10000650000000011,0.0045051499522144045,,0.16416973207940105,0.0,0.27789183966477027,0.17962701033307388
scene-0450,smoothing_spline,195,0.10000650000000011,0.004463527388040567,,0.0021685796485592947,0.10000650000000011,0.22273047884061695,0.1411676738245313
scene-0450,family_a_W3,195,0.10000650000000011,7.328304511733386e-05,,0.07041130100154905,0.0,0.20487564028557306,0.14788521354726775
scene-0450,family_a_W5,195,0.10000650000000011,5.860040027472202e-05,,0.03405193217967888,0.0,0.1950590525229173,0.14827822756186712
scene-0450,family_a_W7,195,0.10000650000000011,2.9294557657877363e-05,,0.019825118225410665,0.0,0.18541036539652833,0.14794969267658153
scene-0450,family_a_midspan_W5,195,0.10000650000000011,1.0351722842916189e-05,,0.01742629837564428,0.0,0.1686703422383277,0.14670740809350793
scene-0505,forward,195,0.10001199999999988,0.0023659817848815656,,0.17667464951202477,0.0,0.22193035414182913,0.19777132854663687
