central_M2,central_M3sm,family_a_W5_M2,family_a_W5_M3sm,family_a_W7_M2,family_a_W7_M3sm,sequence,n_frames
0.16449717849815154,0.04175701397594643,0.16329867959651248,0.013798256437807478,0.16371902969832514,0.01063763946342019,b5a7ff7e-d74a-3be6-b95d-3fc0042215f6,160
0.05054485662140098,0.07245059370244251,0.04446164139460869,0.024239455686850833,0.056956970752261464,0.019611335949609548,b6500255-eba3-3f77-acfd-626c07aa8621,160
,0.06715056870228098,,0.015960450371629183,,0.010777877900989637,b6e967f6-92bc-3bf5-99c9-1b0c4649fd67,160
0.0780098380808605,0.07061077175399272,0.0687568064539102,0.0249976393188957,0.06595924311112741,0.0203408204207422,b8489c02-60d0-3f44-a3b4-9de62830d666,160
,0.060619159733868,,0.02131048448883128,,0.0154228389780993,b87683ae-14c5-321f-8af3-623e7bafc3a7,160
,0.04836454979420697,,0.020120842666097708,,0.016631857134168926,ba67827f-6b99-3d2a-96ab-7c829eb999bb,160
,0.07893259707094802,,0.015488075250624156,,0.008088810869205747,bbd19ca1-805a-3c22-8df3-cd7501aa06f3,160
0.1984851179903539,0.05847610599305613,0.19687784766038424,0.019180523390564436,0.19830809624813797,0.013394894536409779,bd90cd1a-38b6-33b7-adec-ba7d4207a8c0,160
0.2805592878397794,0.04566167178383214,0.2811539197424746,0.013916679274362442,0.27969949212149586,0.010057953723790803,bdb9d309-f14b-3ff6-ad1f-5d3f3f95a13e,160
,0.0533472811643882,,0.012044658355193935,,0.008230107835426466,bf360aeb-1bbd-3c1e-b143-09cf83e4f2e4,160
,0.09464743525237657,,0.020934902592476254,,0.010920697761930352,bf382949-3515-3c16-b505-319442937a43,160
,0.05039826798355969,,0.01185083187834458,,0.007091972500612884,c222c78d-b574-4b9d-82e1-96a4f3f8bb27,160
,0.0951701130876858,,0.023009462829516658,,0.012396094412667676,c2d44a70-9fd4-3298-ad0a-c4c9712e6f1e,160
,0.08329535703507879,,0.019688859396143787,,0.011791059352871567,c85a88a8-c916-30a7-923c-0c66bd3ebbd3,160
,0.08728835070033299,,0.017778956449993777,,0.010026637037037293,c865c156-0f26-411c-a16c-be985333f675,160
,0.06971922029203846,,0.02390781463760508,,0.019268697197465257,c8ec7be0-92aa-3222-946e-fbcf398c841e,160
,0.08560760813884395,,0.01947085533636805,,0.010932997741943765,cae56e40-8470-3c9c-af75-6e444189488f,160
,0.05471738139766863,,0.020522363027937335,,0.017661983296567686,cd22abca-9150-3279-87a4-cb00ba517372,160
0.08815229608036973,0.06851911497831438,0.08465097591877183,0.027650774887972428,0.08403873823461229,0.02137369920079629,cf5aaa11-4f92-3377-a7a2-861f305023eb,160
0.05717741255806329,0.022983965373593512,0.05514434074447131,0.008537974918515144,0.05548619370711834,0.006017210116832102,d1395998-7e8a-417d-91e9-5ca6ec045ee1,159
,0.07093157253556515,,0.017725166120720424,,0.011016973311515906,d3ca0450-2167-38fb-b34b-449741cb38f3,160
0.08383872826962299,0.03926551058786849,0.08112167156234011,0.010659200244459238,0.08106015979975688,0.00809290008007497,d46ff5df-95e8-32da-a0d7-87f7b976a959,160
,0.10745661117939512,,0.02365190010507456,,0.012757045887650559,d5d6f11c-3026-3e0e-9d67-c111233e22de,160
,0.07293784362831437,,0.02852247976598267,,0.024200232613897674,d5fa4d54-74ba-369c-a758-636441ad7f07,160
,0.041470120791276016,,0.010585978024528663,,0.006656338921942901,d770f926-bca8-31de-9790-73fbb7b6a890,160
0.2530464080757016,0.060665566498736556,0.21992881228795566,0.01477861146008716,0.21996403610154489,0.009520650368631927,d89f80be-76d0-3853-8daa-76605cf4ce5e,160
0.1729091629775431,0.07338287441269725,0.16557973040629026,0.027423091024543853,0.1707992631104787,0.02166448078120134,da036982-92bf-36a8-b880-4ccf4e20b74e,160
,0.06770057550351204,,0.017265824405927103,,0.008080829391263287,dafe14f5-825c-4e7a-9009-6dfdfdd5b030,160
,0.10819627481534362,,0.024717342422263873,,0.012541923201804405,dc9077b9-2fe0-3d18-9b97-8067ff090874,160
,0.08481775410546437,,0.02120721796490901,,0.013969354978293831,de56b100-508b-3479-81fe-735349f8e8de,160
