sequence,method,checkpoint,elapsed_s,dist_traveled_m,drift_m,drift_abs_m,drift_pct
riverside05,v_savgol_w7p3,t100s,100.0995712,1016.713668538856,0.20119741768394306,0.20119741768394306,0.01978899506417463
riverside05,v_savgol_w7p3,t500s,500.005771776,3933.723162337568,-0.08241922589104433,0.08241922589104433,-0.002095196395113572
riverside05,v_savgol_w7p3,final,855.002921472,6392.355297066538,-0.20201065459150414,0.20201065459150414,-0.00316019127854497
riverside05,v_family_a_W3,t100s,100.0995712,1016.713668538856,0.20505753762779477,0.20505753762779477,0.020168661440589066
riverside05,v_family_a_W3,t500s,500.005771776,3933.723162337568,-0.13730006629020863,0.13730006629020863,-0.0034903337277201714
riverside05,v_family_a_W3,final,855.002921472,6392.355297066538,-0.23423621818619722,0.23423621818619722,-0.003664317881293122
riverside05,v_family_a_W5,t100s,100.0995712,1016.713668538856,0.2040141849452084,0.2040141849452084,0.020066041330830356
riverside05,v_family_a_W5,t500s,500.005771776,3933.723162337568,-0.12889721434930834,0.12889721434930834,-0.0032767230694676725
riverside05,v_family_a_W5,final,855.002921472,6392.355297066538,-0.24976601309936086,0.24976601309936086,-0.0039072611188239
riverside05,v_family_a_W7,t100s,100.0995712,1016.713668538856,0.20749814160558344,0.20749814160558344,0.02040870975048305
riverside05,v_family_a_W7,t500s,500.005771776,3933.723162337568,-0.11198200340004405,0.11198200340004405,-0.002846717950876342
riverside05,v_family_a_W7,final,855.002921472,6392.355297066538,-0.2235971818363396,0.2235971818363396,-0.0034978841357417773
roundabout01,v_forward,t100s,100.000344064,816.9442998462438,0.24604188751425227,0.24604188751425227,0.030117339402522248
roundabout01,v_forward,t500s,500.006314496,2307.4939602384998,0.049325309990763344,0.049325309990763344,0.0021376138287124763
roundabout01,v_forward,final,2729.510208512,9036.681033249683,-3.126315354662438,3.126315354662438,-0.034595836050419757
roundabout01,v_central,t100s,100.000344064,816.9442998462438,-0.048613576235993605,0.048613576235993605,-0.005950659824071619
roundabout01,v_central,t500s,500.006314496,2307.4939602384998,0.039787469735983905,0.039787469735983905,0.0017242718906996194
roundabout01,v_central,final,2729.510208512,9036.681033249683,-3.958368512792731,3.958368512792731,-0.04380334437199076
roundabout01,v_savgol_w7p3,t100s,100.000344064,816.9442998462438,-0.03771782417061331,0.03771782417061331,-0.004616939511997592
roundabout01,v_savgol_w7p3,t500s,500.006314496,2307.4939602384998,0.06899310118797075,0.06899310118797075,0.0029899580400565688
roundabout01,v_savgol_w7p3,final,2729.510208512,9036.681033249683,-3.8851298988756753,3.8851298988756753,-0.042992885159724874
roundabout01,v_family_a_W3,t100s,100.000344064,816.9442998462438,-0.03768221100722258,0.03768221100722258,-0.004612580198468207
roundabout01,v_family_a_W3,t500s,500.006314496,2307.4939602384998,0.06385679187906135,0.06385679187906135,0.002767365504716692
roundabout01,v_family_a_W3,final,2729.510208512,9036.681033249683,-3.8369361715140258,3.8369361715140258,-0.042459572905100364
roundabout01,v_family_a_W5,t100s,100.000344064,816.9442998462438,-0.04045959071163452,0.04045959071163452,-0.0049525519327632715
roundabout01,v_family_a_W5,t500s,500.006314496,2307.4939602384998,0.04065631051753371,0.04065631051753371,0.0017619248941969723
roundabout01,v_family_a_W5,final,2729.510208512,9036.681033249683,-3.9759868269538856,3.9759868269538856,-0.04399830880745472
roundabout01,v_family_a_W7,t100s,100.000344064,816.9442998462438,-0.04337129488442315,0.04337129488442315,-0.005308965971435998
roundabout01,v_family_a_W7,t500s,500.006314496,2307.4939602384998,0.03244693043188818,0.03244693043188818,0.001406154511820889
roundabout01,v_family_a_W7,final,2729.510208512,9036.681033249683,-3.9723825154378574,3.9723825154378574,-0.04395842346124447
town01,v_forward,t100s,100.09538816,523.6060264922593,-0.26086454221422173,0.26086454221422173,-0.0498207677176302
town01,v_forward,t500s,500.082854912,1559.006038918211,-1.2867052586241243,1.2867052586241243,-0.08253369303924984
town01,v_forward,final,2413.907833088,7828.270561318673,-3.98211399469983,3.98211399469983,-0.05086837461107173
town01,v_central,t100s,100.09538816,523.6060264922593,-0.5365430722455358,0.5365430722455358,-0.10247075952122713
town01,v_central,t500s,500.082854912,1559.006038918211,-1.337333384349904,1.337333384349904,-0.08578115484901361
town01,v_central,final,2413.907833088,7828.270561318673,-4.261923601219678,4.261923601219678,-0.05444272228247763
town01,v_savgol_w7p3,t100s,100.09538816,523.6060264922593,-0.5647885219234468,0.5647885219234468,-0.10786516834175443
town01,v_savgol_w7p3,t500s,500.082854912,1559.006038918211,-1.4040594311893528,1.4040594311893528,-0.090061192589326
town01,v_savgol_w7p3,final,2413.907833088,7828.270561318673,-4.106320842623973,4.106320842623973,-0.05245501941277132
town01,v_family_a_W3,t100s,100.09538816,523.6060264922593,-0.534390870199104,0.534390870199104,-0.10205972490024505
town01,v_family_a_W3,t500s,500.082854912,1559.006038918211,-1.333848268078782,1.333848268078782,-0.08555760752564721
town01,v_family_a_W3,final,2413.907833088,7828.270561318673,-4.1816613650698855,4.1816613650698855,-0.0534174353366433
town01,v_family_a_W5,t100s,100.09538816,523.6060264922593,-0.544419299528613,0.544419299528613,-0.10397498729641941
town01,v_family_a_W5,t500s,500.082854912,1559.006038918211,-1.381820816407071,1.381820816407071,-0.08863473148352342
town01,v_family_a_W5,final,2413.907833088,7828.270561318673,-4.515539602006356,4.515539602006356,-0.05768246724019351
town01,v_family_a_W7,t100s,100.09538816,523.6060264922593,-0.5423050060761625,0.5423050060761625,-0.10357119258331907
town01,v_family_a_W7,t500s,500.082854912,1559.006038918211,-1.3924423490277604,1.3924423490277604,-0.08931603305359685
town01,v_family_a_W7,final,2413.907833088,7828.270561318673,-4.638856819307875,4.638856819307875,-0.05925774771032517
