dataset,sequence,method,elapsed_s,dist_traveled_m,drift_m,drift_abs_m,drift_pct
kitti360,2013_05_28_drive_0003_extract,v_central,108.297964,1379.8083965282183,-0.8161060023580831,0.8161060023580831,-0.0591463281721951
kitti360,2013_05_28_drive_0003_extract,v_family_a_W3,108.297964,1379.8083965282183,-0.8013319763936124,0.8013319763936124,-0.05807559791706373
kitti360,2013_05_28_drive_0003_extract,v_family_a_W5,108.297964,1379.8083965282183,-0.7989162661481259,0.7989162661481259,-0.05790052214193693
kitti360,2013_05_28_drive_0003_extract,v_family_a_W7,108.297964,1379.8083965282183,-0.804527047523834,0.804527047523834,-0.058307156960932485
kitti360,2013_05_28_drive_0004_extract,v_central,1211.47809,10004.612973851066,56.29042062395638,56.29042062395638,0.5626446597292865
kitti360,2013_05_28_drive_0004_extract,v_family_a_W3,1211.47809,10004.612973851066,56.63620332969549,56.63620332969549,0.5661008924355678
kitti360,2013_05_28_drive_0004_extract,v_family_a_W5,1211.47809,10004.612973851066,56.56463804647501,56.56463804647501,0.5653855695799259
kitti360,2013_05_28_drive_0004_extract,v_family_a_W7,1211.47809,10004.612973851066,56.50048891978258,56.50048891978258,0.5647443740948023
kitti360,2013_05_28_drive_0005_extract,v_central,705.397201,4661.940203060076,11.210898551054015,11.210898551054015,0.24047709886315644
kitti360,2013_05_28_drive_0005_extract,v_family_a_W3,705.397201,4661.940203060076,11.441749362134942,11.441749362134942,0.24542891722687973
kitti360,2013_05_28_drive_0005_extract,v_family_a_W5,705.397201,4661.940203060076,11.35067813126443,11.35067813126443,0.24347541231468173
kitti360,2013_05_28_drive_0005_extract,v_family_a_W7,705.397201,4661.940203060076,11.26895663409232,11.26895663409232,0.24172246196327077
kitti360,2013_05_28_drive_0006_extract,v_central,1014.181672,7909.8954568640265,41.80420653546207,41.80420653546207,0.5285051713191145
kitti360,2013_05_28_drive_0006_extract,v_family_a_W3,1014.181672,7909.8954568640265,42.08354484661231,42.08354484661231,0.5320366757830304
kitti360,2013_05_28_drive_0006_extract,v_family_a_W5,1014.181672,7909.8954568640265,41.95818801727546,41.95818801727546,0.530451865591537
kitti360,2013_05_28_drive_0006_extract,v_family_a_W7,1014.181672,7909.8954568640265,41.86546584284497,41.86546584284497,0.529279635504096
kitti360,2013_05_28_drive_0007_extract,v_central,355.193462,4896.72935504986,-3.001451002281101,3.001451002281101,-0.06129501519592437
kitti360,2013_05_28_drive_0007_extract,v_family_a_W3,355.193462,4896.72935504986,-2.9748331200862594,2.9748331200862594,-0.060751430279037115
kitti360,2013_05_28_drive_0007_extract,v_family_a_W5,355.193462,4896.72935504986,-2.9857568419711242,2.9857568419711242,-0.060974512281182065
kitti360,2013_05_28_drive_0007_extract,v_family_a_W7,355.193462,4896.72935504986,-2.9872547292907257,2.9872547292907257,-0.06100510182802024
kitti360,2013_05_28_drive_0008_extract,v_central,923.583041,7126.401725714366,-4.432728451512048,4.432728451512048,-0.06220149553900853
kitti360,2013_05_28_drive_0008_extract,v_family_a_W3,923.583041,7126.401725714366,-4.208230537498821,4.208230537498821,-0.059051267378236086
kitti360,2013_05_28_drive_0008_extract,v_family_a_W5,923.583041,7126.401725714366,-4.249475573601558,4.249475573601558,-0.05963003121572663
kitti360,2013_05_28_drive_0008_extract,v_family_a_W7,923.583041,7126.401725714366,-4.294230378578504,4.294230378578504,-0.06025804527807533
kitti360,2013_05_28_drive_0009_extract,v_central,1470.403175,10546.186540142626,9.524657995207235,9.524657995207235,0.09031376373775411
kitti360,2013_05_28_drive_0009_extract,v_family_a_W3,1470.403175,10546.186540142626,9.569704806246591,9.569704806246591,0.09074090212439169
kitti360,2013_05_28_drive_0009_extract,v_family_a_W5,1470.403175,10546.186540142626,9.379882975235887,9.379882975235887,0.08894099245763042
kitti360,2013_05_28_drive_0009_extract,v_family_a_W7,1470.403175,10546.186540142626,9.147492576439618,9.147492576439618,0.08673744335567107
kitti360,2013_05_28_drive_0010_extract,v_central,400.192666,3331.755009320174,7.317997735325662,7.317997735325662,0.2196439328478374
kitti360,2013_05_28_drive_0010_extract,v_family_a_W3,400.192666,3331.755009320174,7.3705742950483,7.3705742950483,0.22122197683893405
kitti360,2013_05_28_drive_0010_extract,v_family_a_W5,400.192666,3331.755009320174,7.253138536858387,7.253138536858387,0.21769723513789657
kitti360,2013_05_28_drive_0010_extract,v_family_a_W7,400.192666,3331.755009320174,7.177545954238667,7.177545954238667,0.215428383364334
boreas,boreas-2020-11-26-13-58,v_central,1075.3993690013885,7945.009120360734,-0.6324466696587479,0.6324466696587479,-0.007960301367533638
boreas,boreas-2020-11-26-13-58,v_family_a_W3,1075.3993690013885,7945.009120360734,-0.512474534906687,0.512474534906687,-0.0064502699385626215
boreas,boreas-2020-11-26-13-58,v_family_a_W5,1075.3993690013885,7945.009120360734,-0.537483294334379,0.537483294334379,-0.006765043138301334
boreas,boreas-2020-11-26-13-58,v_family_a_W7,1075.3993690013885,7945.009120360734,-0.5439853127963943,0.5439853127963943,-0.006846880910461374
boreas,boreas-2021-06-17-17-52,v_central,1274.8045122623444,7958.848592431158,-1.0430009137880916,1.0430009137880916,-0.013104922171530973
boreas,boreas-2021-06-17-17-52,v_family_a_W3,1274.8045122623444,7958.848592431158,-0.8666000685470863,0.8666000685470863,-0.01088851054876481
boreas,boreas-2021-06-17-17-52,v_family_a_W5,1274.8045122623444,7958.848592431158,-0.9431906663794507,0.9431906663794507,-0.011850843189508874
boreas,boreas-2021-06-17-17-52,v_family_a_W7,1274.8045122623444,7958.848592431158,-1.0079506163019687,1.0079506163019687,-0.012664528098455433
boreas,boreas-2021-09-02-11-42,v_central,1073.5029294490814,7963.654738513406,-0.7396635265849909,0.7396635265849909,-0.00928799088950792
boreas,boreas-2021-09-02-11-42,v_family_a_W3,1073.5029294490814,7963.654738513406,-0.6174746577198675,0.6174746577198675,-0.007753659318424105
boreas,boreas-2021-09-02-11-42,v_family_a_W5,1073.5029294490814,7963.654738513406,-0.6703822292265613,0.6703822292265613,-0.008418022267897856
boreas,boreas-2021-09-02-11-42,v_family_a_W7,1073.5029294490814,7963.654738513406,-0.6965560445432857,0.6965560445432857,-0.008746688140240913
pit30m,00682fa6_00,v_central,237.699773311615,1692.6158394705037,-0.27866793502789733,0.27866793502789733,-0.0164637437822319
pit30m,00682fa6_00,v_family_a_W3,237.699773311615,1692.6158394705037,-0.27844621123585966,0.27844621123585966,-0.016450644307036924
pit30m,00682fa6_00,v_family_a_W5,237.699773311615,1692.6158394705037,-0.2785132047713432,0.2785132047713432,-0.01645460229525382
pit30m,00682fa6_00,v_family_a_W7,237.699773311615,1692.6158394705037,-0.27867912871988665,0.27867912871988665,-0.01646440510724897
pit30m,00682fa6_01,v_central,166.86984086036682,1094.9536489856641,-0.20824163996962852,0.20824163996962852,-0.019018306406169614
pit30m,00682fa6_01,v_family_a_W3,166.86984086036682,1094.9536489856641,-0.20806593284623887,0.20806593284623887,-0.01900225941426704
pit30m,00682fa6_01,v_family_a_W5,166.86984086036682,1094.9536489856641,-0.20812406742402345,0.20812406742402345,-0.01900756873287048
pit30m,00682fa6_01,v_family_a_W7,166.86984086036682,1094.9536489856641,-0.20826692034552252,0.20826692034552252,-0.01902061521402805
pit30m,00682fa6_02,v_central,488.46953415870667,2678.1079362297405,-1.773059508796905,1.773059508796905,-0.06620567770293198
pit30m,00682fa6_02,v_family_a_W3,488.46953415870667,2678.1079362297405,-1.7721962882287698,1.7721962882287698,-0.06617344522430565
pit30m,00682fa6_02,v_family_a_W5,488.46953415870667,2678.1079362297405,-1.7724644149852793,1.7724644149852793,-0.0661834570222949
pit30m,00682fa6_02,v_family_a_W7,488.46953415870667,2678.1079362297405,-1.7731311414122501,1.7731311414122501,-0.06620835245006879
pit30m,00682fa6_03,v_central,331.83968353271484,6.053296536367652,-0.0007332860481934489,0.0007332860481934489,-0.01211382994023064
pit30m,00682fa6_03,v_family_a_W3,331.83968353271484,6.053296536367652,-9.884941098103894e-05,9.884941098103894e-05,-0.0016329847775862411
pit30m,00682fa6_03,v_family_a_W5,331.83968353271484,6.053296536367652,-0.0005797974788555038,0.0005797974788555038,-0.009578210407703201
pit30m,00682fa6_03,v_family_a_W7,331.83968353271484,6.053296536367652,-0.0016931503183865715,0.0016931503183865715,-0.027970714935478203
pit30m,00a05077_00,v_central,141.62986493110657,549.3359688639897,-0.07892534024608722,0.07892534024608722,-0.014367408056185079
pit30m,00a05077_00,v_family_a_W3,141.62986493110657,549.3359688639897,-0.07873832140887771,0.07873832140887771,-0.014333363528280551
pit30m,00a05077_00,v_family_a_W5,141.62986493110657,549.3359688639897,-0.07888695444808036,0.07888695444808036,-0.01436042038376191
pit30m,00a05077_00,v_family_a_W7,141.62986493110657,549.3359688639897,-0.07923367968635375,0.07923367968635375,-0.014423537539368963
pit30m,00a05077_01,v_central,960.1690843105316,2880.844556798165,-4.397391491425424,4.397391491425424,-0.15264244233686747
pit30m,00a05077_01,v_family_a_W3,960.1690843105316,2880.844556798165,-4.395449331930195,4.395449331930195,-0.15257502601304512
pit30m,00a05077_01,v_family_a_W5,960.1690843105316,2880.844556798165,-4.396978166684676,4.396978166684676,-0.1526280949907126
pit30m,00a05077_01,v_family_a_W7,960.1690843105316,2880.844556798165,-4.400478334637228,4.400478334637228,-0.15274959297102852
pit30m,00a05077_02,v_central,25.549975633621216,271.4436005463961,-0.015538123444400753,0.015538123444400753,-0.005724254840830157
pit30m,00a05077_02,v_family_a_W3,25.549975633621216,271.4436005463961,-0.015569937496309194,0.015569937496309194,-0.005735975158363671
pit30m,00a05077_02,v_family_a_W5,25.549975633621216,271.4436005463961,-0.015573011152980598,0.015573011152980598,-0.005737107495491979
pit30m,00a05077_02,v_family_a_W7,25.549975633621216,271.4436005463961,-0.015579260827166763,0.015579260827166763,-0.005739409879550246
pit30m,00a05077_03,v_central,2155.0579447746277,5009.720704260244,-4.974886194601822,4.974886194601822,-0.0993046616425383
pit30m,00a05077_03,v_family_a_W3,2155.0579447746277,5009.720704260244,-4.967868174744581,4.967868174744581,-0.09916457359628707
pit30m,00a05077_03,v_family_a_W5,2155.0579447746277,5009.720704260244,-4.972991054143677,4.972991054143677,-0.09926683237879244
pit30m,00a05077_03,v_family_a_W7,2155.0579447746277,5009.720704260244,-4.98485188025461,4.98485188025461,-0.09950358861354315
pit30m,00a05077_04,v_central,150.33985662460327,1076.3368118442868,-2.9568930743544115,2.9568930743544115,-0.2747181961832022
pit30m,00a05077_04,v_family_a_W3,150.33985662460327,1076.3368118442868,-2.9553747798224776,2.9553747798224776,-0.27457713489873936
pit30m,00a05077_04,v_family_a_W5,150.33985662460327,1076.3368118442868,-2.9563309945422134,2.9563309945422134,-0.274665974628944
pit30m,00a05077_04,v_family_a_W7,150.33985662460327,1076.3368118442868,-2.9592484388811044,2.9592484388811044,-0.2749370277330269
pit30m,0106abc2_00,v_central,1125.5689265727997,11676.914577964599,-8.300244811929588,8.300244811929588,-0.07108251718816977
pit30m,0106abc2_00,v_family_a_W3,1125.5689265727997,11676.914577964599,-8.299192174628843,8.299192174628843,-0.07107350250116734
pit30m,0106abc2_00,v_family_a_W5,1125.5689265727997,11676.914577964599,-8.299575553468458,8.299575553468458,-0.07107678572155107
pit30m,0106abc2_00,v_family_a_W7,1125.5689265727997,11676.914577964599,-8.300456545139241,8.300456545139241,-0.0710843304514958
pit30m,0106abc2_01,v_central,65.94993710517883,506.8215308538402,-0.047640257984994605,0.047640257984994605,-0.009399809417081247
pit30m,0106abc2_01,v_family_a_W3,65.94993710517883,506.8215308538402,-0.04759361784385874,0.04759361784385874,-0.009390606938832681
pit30m,0106abc2_01,v_family_a_W5,65.94993710517883,506.8215308538402,-0.04760055248442541,0.04760055248442541,-0.009391975199678859
pit30m,0106abc2_01,v_family_a_W7,65.94993710517883,506.8215308538402,-0.04761671275480239,0.04761671275480239,-0.00939516375213632
pit30m,017be362_00,v_central,337.5996780395508,555.8682027207541,-0.15559857240134534,0.15559857240134534,-0.027991990122793877
pit30m,017be362_00,v_family_a_W3,337.5996780395508,555.8682027207541,-0.15480479843120065,0.15480479843120065,-0.02784919117040562
pit30m,017be362_00,v_family_a_W5,337.5996780395508,555.8682027207541,-0.1552574026509319,0.1552574026509319,-0.027930614107986133
pit30m,017be362_00,v_family_a_W7,337.5996780395508,555.8682027207541,-0.15628379260215297,0.15628379260215297,-0.028115260386761803
pit30m,017be362_01,v_central,17.139983654022217,98.98910646905863,-0.012482812528602949,0.012482812528602949,-0.012610289125606711
pit30m,017be362_01,v_family_a_W3,17.139983654022217,98.98910646905863,-0.012384821250734035,0.012384821250734035,-0.012511297144201622
pit30m,017be362_01,v_family_a_W5,17.139983654022217,98.98910646905863,-0.012392651639402175,0.012392651639402175,-0.012519207498125856
pit30m,017be362_01,v_family_a_W7,17.139983654022217,98.98910646905863,-0.012416554998949891,0.012416554998949891,-0.012543354962832175
pit30m,017be362_02,v_central,235.03977584838867,929.6886776631368,-0.12834021324511014,0.12834021324511014,-0.013804644105993179
pit30m,017be362_02,v_family_a_W3,235.03977584838867,929.6886776631368,-0.12758666576257838,0.12758666576257838,-0.013723590361805838
pit30m,017be362_02,v_family_a_W5,235.03977584838867,929.6886776631368,-0.12776152176331834,0.12776152176331834,-0.013742398378396884
pit30m,017be362_02,v_family_a_W7,235.03977584838867,929.6886776631368,-0.12818729142497887,0.12818729142497887,-0.013788195393235307
pit30m,017be362_03,v_central,42.18995976448059,268.3756460048633,-0.052444647033837555,0.052444647033837555,-0.019541507515509506
pit30m,017be362_03,v_family_a_W3,42.18995976448059,268.3756460048633,-0.05229748938023704,0.05229748938023704,-0.019486674800324223
pit30m,017be362_03,v_family_a_W5,42.18995976448059,268.3756460048633,-0.0523097190123849,0.0523097190123849,-0.01949123170864654
pit30m,017be362_03,v_family_a_W7,42.18995976448059,268.3756460048633,-0.05234462485611857,0.05234462485611857,-0.01950423804668551
pit30m,017be362_04,v_central,355.2896611690521,1344.0183558323802,-0.24229551425742102,0.24229551425742102,-0.018027693833642777
pit30m,017be362_04,v_family_a_W3,355.2896611690521,1344.0183558323802,-0.2413128847185817,0.2413128847185817,-0.01795458251529097
pit30m,017be362_04,v_family_a_W5,355.2896611690521,1344.0183558323802,-0.2415395978014203,0.2415395978014203,-0.017971450817859516
pit30m,017be362_04,v_family_a_W7,355.2896611690521,1344.0183558323802,-0.24208592532841067,0.24208592532841067,-0.01801209963226146
pit30m,017be362_05,v_central,1133.5889189243317,5201.099423736645,-1.7922713283760459,1.7922713283760459,-0.03445947063031565
pit30m,017be362_05,v_family_a_W3,1133.5889189243317,5201.099423736645,-1.7893911994560767,1.7893911994560767,-0.034404095243588284
pit30m,017be362_05,v_family_a_W5,1133.5889189243317,5201.099423736645,-1.7901506204716497,1.7901506204716497,-0.03441869640679826
pit30m,017be362_05,v_family_a_W7,1133.5889189243317,5201.099423736645,-1.7919472630692326,1.7919472630692326,-0.03445323992252848
pit30m,017be362_06,v_central,67.44993567466736,270.77403279227156,-0.02048309335543763,0.02048309335543763,-0.007564644639004786
pit30m,017be362_06,v_family_a_W3,67.44993567466736,270.77403279227156,-0.02025423616981925,0.02025423616981925,-0.007480125018250032
pit30m,017be362_06,v_family_a_W5,67.44993567466736,270.77403279227156,-0.0202649905211274,0.0202649905211274,-0.007484096725284584
pit30m,017be362_06,v_family_a_W7,67.44993567466736,270.77403279227156,-0.020293501063633812,0.020293501063633812,-0.0074946260002717036
pit30m,017be362_07,v_central,706.6893260478973,1148.2586426253747,-0.7238539645213677,0.7238539645213677,-0.06303927857806935
pit30m,017be362_07,v_family_a_W3,706.6893260478973,1148.2586426253747,-0.7221480119019361,0.7221480119019361,-0.06289070990581175
pit30m,017be362_07,v_family_a_W5,706.6893260478973,1148.2586426253747,-0.7230659689344066,0.7230659689344066,-0.06297065330866493
pit30m,017be362_07,v_family_a_W7,706.6893260478973,1148.2586426253747,-0.7251834445748955,0.7251834445748955,-0.06315506085953235
pit30m,01959149_00,v_central,1264.8587937355042,10019.94358274431,-3.1130005125141906,3.1130005125141906,-0.0310680443138941
pit30m,01959149_00,v_family_a_W3,1264.8587937355042,10019.94358274431,-3.1114822524559713,3.1114822524559713,-0.031052891932588943
pit30m,01959149_00,v_family_a_W5,1264.8587937355042,10019.94358274431,-3.1119309130845068,3.1119309130845068,-0.031057369608783726
pit30m,01959149_00,v_family_a_W7,1264.8587937355042,10019.94358274431,-3.1130669911872246,3.1130669911872246,-0.03106870777744043
pit30m,01959149_01,v_central,182.5098259449005,1650.7281096160323,-0.3484331926604227,0.3484331926604227,-0.021107848750541364
pit30m,01959149_01,v_family_a_W3,182.5098259449005,1650.7281096160323,-0.3479976690609874,0.3479976690609874,-0.021081465023451585
pit30m,01959149_01,v_family_a_W5,182.5098259449005,1650.7281096160323,-0.3480182879136464,0.3480182879136464,-0.021082714099694908
pit30m,01959149_01,v_family_a_W7,182.5098259449005,1650.7281096160323,-0.34807627588452306,0.34807627588452306,-0.021086226972017057
pit30m,01959149_02,v_central,18.23998260498047,64.75045233043787,-0.13815506579886971,0.13815506579886971,-0.21336540645898444
pit30m,01959149_02,v_family_a_W3,18.23998260498047,64.75045233043787,-0.13807016994736898,0.13807016994736898,-0.21323429409073796
pit30m,01959149_02,v_family_a_W5,18.23998260498047,64.75045233043787,-0.13808458489428688,0.13808458489428688,-0.21325655640150043
pit30m,01959149_02,v_family_a_W7,18.23998260498047,64.75045233043787,-0.13812140629710257,0.13812140629710257,-0.21331342303561718
pit30m,01959149_03,v_central,207.1398024559021,1128.369047319649,-0.7495664234374999,0.7495664234374999,-0.06642919045130095
pit30m,01959149_03,v_family_a_W3,207.1398024559021,1128.369047319649,-0.7491177480205806,0.7491177480205806,-0.06638942727116189
pit30m,01959149_03,v_family_a_W5,207.1398024559021,1128.369047319649,-0.7492082230385222,0.7492082230385222,-0.06639744548277061
pit30m,01959149_03,v_family_a_W7,207.1398024559021,1128.369047319649,-0.749444391261477,0.749444391261477,-0.06641837553429195
pit30m,01959149_04,v_central,22.179978847503662,93.15299758095317,-0.003372900374969845,0.003372900374969845,-0.0036208178615386778
pit30m,01959149_04,v_family_a_W3,22.179978847503662,93.15299758095317,-0.003343307141719265,0.003343307141719265,-0.0035890494439685806
pit30m,01959149_04,v_family_a_W5,22.179978847503662,93.15299758095317,-0.0033468189653547142,0.0033468189653547142,-0.003592819396333664
pit30m,01959149_04,v_family_a_W7,22.179978847503662,93.15299758095317,-0.003358486007840611,0.003358486007840611,-0.0036053439986426317
pit30m,01959149_05,v_central,581.9694449901581,4670.39580769875,-2.064887879089838,2.064887879089838,-0.04421226731331948
pit30m,01959149_05,v_family_a_W3,581.9694449901581,4670.39580769875,-2.06422605134685,2.06422605134685,-0.044198096614084595
pit30m,01959149_05,v_family_a_W5,581.9694449901581,4670.39580769875,-2.0643948578936033,2.0643948578936033,-0.0442017110089604
pit30m,01959149_05,v_family_a_W7,581.9694449901581,4670.39580769875,-2.0647869164477015,2.0647869164477015,-0.04421010555559501
pit30m,01959149_06,v_central,702.4893300533295,5429.837035412947,-0.5550500091276263,0.5550500091276263,-0.010222222241802767
pit30m,01959149_06,v_family_a_W3,702.4893300533295,5429.837035412947,-0.5542711536145362,0.5542711536145362,-0.010207878247535343
