run,mode,method,n,dt_med,m1_path_len_err,m3_low_speed_rms,m4_smooth,m4_lag_s,m8_rmse_vs_ins,m8_bias
2015-03-24-13-47-33,rtk,central,22321,0.09847850000005565,1.753916941527045e-05,0.06585145720257685,0.2239623252560944,0.0,0.2359237849475348,0.007182993762916591
2015-03-24-13-47-33,rtk,cubic_global,22321,0.09847850000005565,0.0008373316418051058,0.06594219028833392,0.3612634567751146,0.0,0.2814294091444345,0.012289741082922488
2015-03-24-13-47-33,rtk,savgol_w7p3,22321,0.09847850000005565,0.015465728742975138,0.06661559013540609,0.007922036000188017,0.0,0.07506163118883295,0.061193341888132156
2015-03-24-13-47-33,rtk,smoothing_spline,22321,0.09847850000005565,0.006735196436383095,0.43472626293736094,0.00197642379383249,-0.09847850000005565,0.4924895272113915,0.02023454192949926
2015-03-24-13-47-33,rtk,family_a_W3,22321,0.09847850000005565,0.0011071046817722197,0.06569662350258772,0.17181644211883032,0.0,0.23446165260787716,0.0024639785367236767
2015-03-24-13-47-33,rtk,family_a_W5,22321,0.09847850000005565,0.0015890265327777042,0.06543049501781711,0.09449476210887003,0.0,0.14894239732478937,-0.0029500334708704736
2015-03-24-13-47-33,rtk,family_a_W7,22321,0.09847850000005565,0.00040103147535541783,0.06532821998174478,0.029731832341567437,0.0,0.05207987202893825,-0.0022723172048835336
2015-03-24-13-47-33,rtk,family_a_midspan_W5,22321,0.09847850000005565,0.0006072071799583245,0.07022255422748143,0.044570595372225755,0.0,0.06402967547687335,-0.0016238983190504609
2015-05-19-14-06-38,rtk,forward,22071,0.09848999999996977,0.0007947205870872942,0.05768361406051665,0.3901102521563079,0.0,0.28582393619825053,0.010830504936555385
2015-05-19-14-06-38,rtk,central,22071,0.09848999999996977,2.0713190964971595e-05,0.05734183756844809,0.2313055703117005,0.0,0.24340531890655495,0.0073109335788508955
2015-05-19-14-06-38,rtk,cubic_global,22071,0.09848999999996977,0.0008386204473616043,0.057309783944879934,0.37294829796112405,0.0,0.2904319114939815,0.01252807924230705
2015-05-19-14-06-38,rtk,savgol_w7p3,22071,0.09848999999996977,0.015326823561430336,0.05797222420047055,0.009086459576892282,0.0,0.07647527814260686,0.061704118129015564
2015-05-19-14-06-38,rtk,smoothing_spline,22071,0.09848999999996977,0.007128741599968347,0.42561938451158005,0.002188143495149079,-0.09848999999996977,0.5173883497044938,0.01834858758348091
2015-05-19-14-06-38,rtk,family_a_W3,22071,0.09848999999996977,0.0011068055098771845,0.05706213639751835,0.17740658083226107,0.0,0.2418217401692296,0.0025058310984418216
