scenario,fs,noise_sigma,jitter_sigma,seed,method,rmse,bias,n
circle_r15_v5,2.0,0.0,0.005,3,savgol_w5p2,0.08198415908115203,-0.08025125817946376,41
circle_r15_v5,2.0,0.0,0.005,3,savgol_w7p3,0.02726329721600156,-0.003084211298959226,41
circle_r15_v5,2.0,0.0,0.005,3,savgol_w9p3,0.018486679764385845,-0.0047737798669496515,41
circle_r15_v5,2.0,0.0,0.005,3,savgol_w11p3,0.014081315215093156,-0.007611366191800279,41
circle_r15_v5,2.0,0.0,0.005,3,family_a_W3,0.0007963177987822642,-0.0007962897205778055,41
circle_r15_v5,2.0,0.0,0.005,3,family_a_W5,0.005987810077056931,-0.005987663058890761,41
circle_r15_v5,2.0,0.0,0.005,3,family_a_W7,0.021151941933230892,-0.02111772559874916,41
circle_r15_v5,2.0,0.0,0.005,3,family_a_midspan_W5,0.011027628128705282,0.011027411763159911,41
circle_r15_v5,2.0,0.0,0.005,4,forward,0.005794297530255158,-0.005790521359490531,41
circle_r15_v5,2.0,0.0,0.005,4,central,0.023145436303074505,-0.02314376230198133,41
circle_r15_v5,2.0,0.0,0.005,4,cubic_global,7.347403053682115e-05,-3.381764672890391e-05,41
circle_r15_v5,2.0,0.0,0.005,4,smoothing_spline,0.24346300184087075,0.022398672503149517,41
circle_r15_v5,2.0,0.0,0.005,4,savgol_w5p2,0.08230029665355422,-0.08119246647988233,41
circle_r15_v5,2.0,0.0,0.005,4,savgol_w7p3,0.021450821748715484,-0.002881619806160615,41
circle_r15_v5,2.0,0.0,0.005,4,savgol_w9p3,0.014747373268923555,-0.005534040364257613,41
circle_r15_v5,2.0,0.0,0.005,4,savgol_w11p3,0.013848261584862742,-0.009499050422334333,41
circle_r15_v5,2.0,0.0,0.005,4,family_a_W3,0.0007963342164404003,-0.0007963110604243405,41
circle_r15_v5,2.0,0.0,0.005,4,family_a_W5,0.005990040159056411,-0.005989863317337397,41
circle_r15_v5,2.0,0.0,0.005,4,family_a_W7,0.021144471812007813,-0.021108820853691677,41
circle_r15_v5,2.0,0.0,0.005,4,family_a_midspan_W5,0.011028063739902437,0.01102784826703568,41
circle_r15_v5,2.0,0.01,0.0,0,forward,0.023371039769479008,-0.005317404135755078,41
circle_r15_v5,2.0,0.01,0.0,0,central,0.025499999086210586,-0.022940480218209724,41
circle_r15_v5,2.0,0.01,0.0,0,cubic_global,0.01882784152934847,0.000453688489678259,41
circle_r15_v5,2.0,0.01,0.0,0,smoothing_spline,0.24329327910192816,0.022893494607191305,41
circle_r15_v5,2.0,0.01,0.0,0,savgol_w5p2,0.07846609801676831,-0.0783281717257202,41
circle_r15_v5,2.0,0.01,0.0,0,savgol_w7p3,0.007974533270057694,-0.0009885635837044967,41
circle_r15_v5,2.0,0.01,0.0,0,savgol_w9p3,0.005516867168686392,-0.0023574202349129323,41
circle_r15_v5,2.0,0.01,0.0,0,savgol_w11p3,0.007111759067144073,-0.005738756646140631,41
circle_r15_v5,2.0,0.01,0.0,0,family_a_W3,0.0079745332700576,-0.0009885635837061297,41
circle_r15_v5,2.0,0.01,0.0,0,family_a_W5,0.0071117590671438136,-0.005738756646140545,41
