scenario,method,fs,noise_sigma,rmse_med,rmse_iqr,bias_med,n_seeds
circle_r15_v5,savgol_w5p2,5.0,0.0,0.023251363968976885,0.026559084323002496,-0.01258189747968063,10
circle_r15_v5,savgol_w5p2,5.0,0.01,0.02773865570460237,0.019702054481141193,-0.012545970367132935,10
circle_r15_v5,savgol_w5p2,5.0,0.05,0.07780831672221677,0.00733522862538534,-0.011912233592633416,10
circle_r15_v5,savgol_w5p2,5.0,0.2,0.30440608899652677,0.019652890877812745,-0.0025353952299287776,10
circle_r15_v5,savgol_w5p2,10.0,0.0,0.037028769288533145,0.07373652500020451,-0.003147479493792808,10
circle_r15_v5,savgol_w5p2,10.0,0.01,0.05415387638366055,0.04694777652159922,-0.002461597597596141,10
circle_r15_v5,savgol_w5p2,10.0,0.05,0.16190520174605702,0.015259979428948411,0.0009936719672004866,10
circle_r15_v5,savgol_w5p2,10.0,0.2,0.6200722780741723,0.05025522541305005,0.03833573757276947,10
circle_r15_v5,savgol_w5p2,50.0,0.0,0.1921926431740223,0.39055352404900096,-0.00012592485586423357,10
circle_r15_v5,savgol_w5p2,50.0,0.01,0.2841402008734045,0.2675330883049814,0.0025222811787667604,10
circle_r15_v5,savgol_w5p2,50.0,0.05,0.8252707472017582,0.09300194194066647,0.06432376844336724,10
circle_r15_v5,savgol_w5p2,50.0,0.2,2.9676329131142527,0.07348128880457061,1.1087817533742337,10
circle_r15_v5,savgol_w7p3,2.0,0.0,0.011123204651999589,0.023584517400259138,-0.0007955875552836962,10
circle_r15_v5,savgol_w7p3,2.0,0.01,0.016380831484234727,0.012138935665374445,-0.0009624185089375345,10
circle_r15_v5,savgol_w7p3,2.0,0.05,0.04900992112337841,0.010803057633511116,-0.0001418312901662771,10
circle_r15_v5,savgol_w7p3,2.0,0.2,0.18739534638346333,0.05229935723628923,0.008490141541430914,10
circle_r15_v5,savgol_w7p3,5.0,0.0,0.029058549458323386,0.06235703006564145,-2.050966637091333e-05,10
circle_r15_v5,savgol_w7p3,5.0,0.01,0.043019062298727845,0.03725568725008056,0.00018335774019795115,10
