scene,method,n,dt_med,m1_path_len_err,m3_low_speed_rms,m4_smooth,m4_lag_s,m8_rmse_vs_can,m8_bias
scene-0750,family_a_midspan_W5,195,0.10000600000000004,0.0010621119305265214,0.05149808219567741,0.009478738982520775,0.0,0.07774531153883402,0.02855026177927963
scene-1000,forward,197,0.09998149999999995,0.0012501465675625045,,0.16371465777845956,0.0,0.11992663304232301,0.030805983738365284
scene-1000,central,197,0.09998149999999995,3.09530401919611e-05,,0.07881400238893697,0.0,0.10166907168193672,0.024584264535506613
scene-1000,cubic_global,197,0.09998149999999995,7.538286828379093e-05,,0.13421847493955472,0.0,0.11300141723553532,0.025234109244809698
scene-1000,savgol_w7p3,197,0.09998149999999995,0.009030931113943597,,0.12991325042868163,0.0,0.16451502814573357,0.06754805232634299
scene-1000,smoothing_spline,197,0.09998149999999995,0.009385913758526265,,0.0036112691260197644,0.0,0.34660759229008636,0.00893200840557177
scene-1000,family_a_W3,197,0.09998149999999995,7.784562126822436e-05,,0.05445947632402576,0.0,0.10047196925632884,0.024430374920817
scene-1000,family_a_W5,197,0.09998149999999995,3.1162276498353236e-05,,0.023842811527082466,0.0,0.08975442701855478,0.024487740648819124
scene-1000,family_a_W7,197,0.09998149999999995,8.50826973641805e-06,,0.014436294807388146,0.0,0.08283260934918601,0.024465628039341856
scene-1000,family_a_midspan_W5,197,0.09998149999999995,2.5824405732177702e-05,,0.014174100843050597,0.0,0.06447738168571725,0.02453468277401047
