sequence,n_frames,central_M2,central_M3sm,central_M4,family_a_W5_M2,family_a_W5_M3sm,family_a_W5_M4,family_a_W7_M2,family_a_W7_M3sm,family_a_W7_M4
01e21524_06,5874,0.05385055183759743,0.008207402410796451,0.004102310703040441,0.053729425070782336,0.004763570927956081,0.00680304803008679,0.05474693198715032,0.004146534758191459,0.008535976965442662
01e21524_07,517,0.06134788885159524,0.010691997470432379,0.00454532436777185,0.0611468221378224,0.007123474094944676,0.008722382456634618,0.061154422021341436,0.006575917566988026,0.010979301042583937
01e21524_08,5737,0.08269003661195869,0.008928218580568406,0.003959414491781785,0.08249692093637945,0.005744345243868476,0.006959016023528573,0.08264872701550427,0.004939599615544844,0.009340261509076802
01e21524_09,949,,0.00978393850896625,0.006037282922669947,,0.005981277395068984,0.008235116665617838,,0.005446220737221715,0.010070676504133897
01e21524_10,1374,0.02486024703864124,0.006379776555278308,0.003940782955840414,0.024605309951754622,0.0032673761765729037,0.0037838752927675133,0.02472029192143405,0.002874455310820033,0.005052810866875757
01e21524_11,6071,0.09157167429107459,0.004814108582489581,0.0021588995877466054,0.09147626040104784,0.0035626842328661504,0.003362271137668608,0.091506474326286,0.003237731849254254,0.004470211415502377
01e21524_12,4908,0.0569674764467693,0.007230198809907921,0.004338890316938585,0.056853563259926715,0.004479037148494393,0.006392151262873195,0.0581279917407029,0.003939099650304318,0.007850275633132746
01e86404_00,242,0.3869915281057525,0.007392396962494646,0.007461890949966541,0.38436694642401525,0.0052990870387665855,0.008149022662318985,0.38440910515312365,0.004593182924048597,0.009613624751479035
01e86404_01,28860,0.09781306628615298,0.009116967181568493,0.013507753504582566,0.09760286213239608,0.00599644273631432,0.014605469809417734,0.09799946305346148,0.005155239965270095,0.01569214519908628
020829cb_00,2267,0.07557825594621333,0.005446440721324049,0.01276673251113453,0.07538472895585592,0.00424590650803548,0.013051504034123845,0.07549877231272012,0.003835939498308183,0.013507871045368495
020829cb_01,15656,0.06700214897285775,0.006898430956369255,0.01673528360653811,0.06676604418685367,0.0041083795441376305,0.017362509177834093,0.06630336428885154,0.003597313722632632,0.01781137727916889
020829cb_02,1823,0.10016675498036968,0.010364965718232892,0.0036482096853985126,0.10006075150703647,0.007484632345786341,0.0061439833435646945,0.10012782371257513,0.0063731643870634245,0.009453308461093888
0209f084_00,1048,0.0620969738699558,0.00504788699194568,0.00535851086820898,0.0621171841101252,0.003806155272994515,0.005783009106006804,0.06214720850001621,0.0034520602990277182,0.006454827545859241
0209f084_01,12448,0.05062128845958273,0.011732135482733488,0.0069446670204731204,0.050422705446327806,0.006190407892222081,0.011189718961566583,0.05110174511200544,0.005024488851695832,0.013673741988981596
021286dc_00,1462,0.039499804218681704,0.007165267788349532,0.004346253444621418,0.03930656529849526,0.00424315111171836,0.00652619308573736,0.03954268486415171,0.0037057684711166543,0.007846957702616281
021286dc_01,4764,0.11496863032134785,0.013680241555993239,0.006144391612093368,0.11720867516986358,0.007724880625930165,0.01176621267278487,0.1170834146514323,0.006313534173643747,0.015185838671705587
021286dc_02,4616,0.09211289119099908,0.011513766556547204,0.0069431746391534314,0.09185769303670614,0.005856353365357025,0.011134118465597226,0.09046289163137958,0.0047624636061047295,0.013282435428158513
024e8e83_00,26149,0.13441464100674838,0.010726577458730603,0.011841537905624134,0.13464274574352111,0.006647607111520924,0.013828488478761981,0.1345468590295248,0.005673037928480626,0.015587934098410187
025c3909_00,6979,0.06544826933366928,0.01292412839063788,0.00563945256339346,0.06380082243265862,0.006834255577896796,0.011084281675754133,0.06408661038709763,0.005767799604963087,0.013641681395674038
025c3909_01,1730,0.05649573193470151,0.014587730058859832,0.00576463684167163,0.05639139544010869,0.008133748205490293,0.011580115148525466,0.05671205900892591,0.00665276082280292,0.015540576993885218
025c3909_02,4158,0.03437945297171392,0.010246578123621662,0.00965521622229125,0.0342604059134917,0.006340831956766816,0.011667966491463276,0.034216035835232354,0.0056110501482671445,0.013282076333668775
025c3909_03,1892,0.0952779322471593,0.01338027730213989,0.009269128989937621,0.09497737600060521,0.007732870331312743,0.01333897092032799,0.09483321521884147,0.0066123301837048894,0.015978958312149398
025c3909_04,3548,0.05923942849279424,0.013540021017140268,0.004442266796336302,0.060327374658208914,0.009999589459534854,0.009467643847145836,0.059328283961321296,0.007939798279941169,0.013216278856328404
025c3909_05,872,0.05668461578837419,0.016172298439288663,0.01369072879269778,0.05520463554774091,0.009320757493968011,0.017127211659931373,0.06507926158232437,0.007891712173550202,0.019851882816677314
025c3909_06,938,0.16280957756997733,0.016080098098463984,0.005630741164422038,0.16255088389023378,0.012984395076191977,0.009965519034572089,0.149478755099448,0.01174069104125502,0.014760603046809737
025c3909_07,1471,0.07137560371454015,0.010880361965735911,0.03154024872677289,0.07082430734545907,0.0062113015990711735,0.032399059927118855,0.07046679471085808,0.005388402621516695,0.033076218907109364
025c3909_08,193,0.10302977419027468,0.01376286248267982,0.00784315293247734,0.10145350151023237,0.007113199079852874,0.011319334535583155,0.10033064035589664,0.006469925586536296,0.01288896149788236
