sequence,method,n,dt_med,m1_path_len_err,m3_low_speed_rms,m4_smooth,m4_lag_s,m8_rmse_vs_ins,m8_bias_vs_ins
kaist05,family_a_W3,12477,0.09999897599988117,7.654335851703387e-06,0.10510644761373696,0.04323262934443363,0.0,0.02413719018734921,-0.002286193952618229
kaist05,family_a_W5,12477,0.09999897599988117,2.361263743921871e-05,0.10476684015580287,0.019025242789616276,0.0,0.024181498123726806,-0.002381459202236351
kaist05,family_a_W7,12477,0.09999897599988117,2.8248653327289652e-05,0.10455782818668119,0.011607039924532834,0.0,0.03285941984788392,-0.002412673042680209
kaist05,family_a_midspan_W5,12477,0.09999897599988117,1.0731572494204755e-05,0.11086127339081141,0.010878073155081297,0.0,0.05368428506877454,-0.002326431408065499
riverside05,forward,8551,0.09999948800003722,5.037852308120705e-05,0.05380799899685762,0.4829153697302377,0.0,0.15684580302954904,1.2402281728213645e-05
riverside05,central,8551,0.09999948800003722,1.5288976116578645e-05,0.05329189908456795,0.1742765273634945,0.0,0.07729714046745133,-0.00016274182568444624
riverside05,cubic_global,8551,0.09999948800003722,2.673340286696302e-06,0.05336553633056117,0.355007280267464,0.0,0.12947258021696437,-1.605210508220185e-05
riverside05,savgol_w7p3,8551,0.09999948800003722,2.910796017774331e-06,0.053153455959667355,0.10296795474208024,0.0,0.058958378214153895,-0.00011288851658714605
riverside05,smoothing_spline,8551,0.09999948800003722,0.005009262176440599,0.4347050990456069,0.001473924978024031,0.0,0.5137976685261537,0.031479949377866356
riverside05,family_a_W3,8551,0.09999948800003722,9.436390956407692e-06,0.05315209201985977,0.09899505065727104,0.0,0.05679963028353003,-0.00012238290933659128
riverside05,family_a_W5,8551,0.09999948800003722,1.0044121446894927e-05,0.05293639743810824,0.02155384575933669,0.0,0.02840030576311294,-0.000138340931599477
riverside05,family_a_W7,8551,0.09999948800003722,5.806492581861278e-06,0.05291098926828633,0.017029366955951596,0.0,0.024194040887360192,-0.00010630262895274171
riverside05,family_a_midspan_W5,8551,0.09999948800003722,3.633813294934285e-06,0.05877637245201039,0.018413419886479907,0.0,0.029063643932968813,-3.8386103930857994e-05
roundabout01,forward,27296,0.10000051199995141,4.80572334304874e-05,0.037639656095210375,0.10479265820391594,0.0,0.0445784972541584,-0.0014327619117958915
roundabout01,central,27296,0.10000051199995141,4.441183279213501e-05,0.037115555884453165,0.042111429975992855,0.0,0.019325241742791353,-0.001463140413922877
roundabout01,cubic_global,27296,0.10000051199995141,5.34106861715955e-06,0.03716344016818398,0.07897965666139506,0.0,0.029314932959708977,-0.0012970427947177176
roundabout01,savgol_w7p3,27296,0.10000051199995141,3.748377518519863e-05,0.03703055505600661,0.02980249327846358,0.0,0.01742790040164781,-0.001447008368947656
roundabout01,smoothing_spline,27296,0.10000051199995141,0.014677872319267538,0.3550187304411291,0.0014734292094889568,0.0,0.5027944065860113,0.04838042688741483
roundabout01,family_a_W3,27296,0.10000051199995141,3.1695510905427327e-05,0.03702718922678443,0.028482474723218867,0.0,0.01659986400472851,-0.0014205177052058436
roundabout01,family_a_W5,27296,0.10000051199995141,4.7292157337452956e-05,0.03686099796812561,0.011728452314785125,0.0,0.017559191374969217,-0.0014724910469747202
roundabout01,family_a_W7,27296,0.10000051199995141,4.69703972878488e-05,0.036807393962871526,0.0075765654022585255,0.0,0.022488109628546818,-0.0014691361563495887
roundabout01,family_a_midspan_W5,27296,0.10000051199995141,1.1407665015283897e-05,0.0413211193691662,0.007742186630125964,0.0,0.035160374835258704,-0.0013661395068172613
town01,forward,24140,0.10000051199995141,1.5679038236626752e-06,0.05249204316658425,0.13459556378220106,0.0,0.05156711386643405,-0.0015314166212853121
town01,central,24140,0.10000051199995141,3.86842355103445e-05,0.05211536097244072,0.05132139383887098,0.0,0.027219024151239286,-0.0016813512793460723
town01,cubic_global,24140,0.10000051199995141,7.3365460204755095e-06,0.05214976011572974,0.09848013890007142,0.0,0.039065918693747766,-0.001535781666948091
town01,savgol_w7p3,24140,0.10000051199995141,1.8607019441785333e-05,0.05205068462462247,0.03994882411163865,0.0,0.027405079580133513,-0.0016455645430566125
town01,smoothing_spline,24140,0.10000051199995141,0.0034038381152754482,0.3191270327668302,0.0007031712865672785,0.0,0.4386160982110661,0.005138997696272465
town01,family_a_W3,24140,0.10000051199995141,2.848419088374854e-05,0.052036175908385635,0.03215827323000292,0.0,0.023963751458074,-0.0016462774560661055
town01,family_a_W5,24140,0.10000051199995141,7.101441548296172e-05,0.05186281979888272,0.013281492286636278,0.0,0.0231564442215176,-0.0017813020746004448
town01,family_a_W7,24140,0.10000051199995141,8.656329745371227e-05,0.051830040068221075,0.008137934977853206,0.0,0.025368776016443457,-0.001828415488981074
town01,family_a_midspan_W5,24140,0.10000051199995141,3.415422741370744e-05,0.056185956388779615,0.009077967137598583,0.0,0.03574692118084296,-0.0016838139995168377
