ds_factor,effective_hz,noise_sigma,jitter_sigma,method,rmse,n,sequence
2,5.006817985858617,0.5,0.02,smoothing_spline_default,0.4641640403060034,10720,bridge01
2,5.006817985858617,0.5,0.02,smoothing_spline_tuned,0.18946103321919033,10720,bridge01
2,5.006817985858617,0.5,0.02,family_a_W5,0.7259925608275809,10720,bridge01
2,5.006817985858617,0.5,0.02,family_a_W7,0.4464643206843454,10720,bridge01
5,2.0,0.0,0.0,central,0.04575485135623675,4288,bridge01
5,2.0,0.0,0.0,savgol_w7p3,0.047873910585835774,4288,bridge01
5,2.0,0.0,0.0,smoothing_spline_default,0.5228110393566188,4288,bridge01
5,2.0,0.0,0.0,smoothing_spline_tuned,0.08898877176631878,4288,bridge01
5,2.0,0.0,0.0,family_a_W5,0.07681412581471658,4288,bridge01
5,2.0,0.0,0.0,family_a_W7,0.11351742401132922,4288,bridge01
5,2.0001362969251533,0.0,0.005,central,0.1033286736122477,4288,bridge01
5,2.0001362969251533,0.0,0.005,savgol_w7p3,0.04791045006556526,4288,bridge01
5,2.0001362969251533,0.0,0.005,smoothing_spline_default,0.5185097411913099,4288,bridge01
5,2.0001362969251533,0.0,0.005,smoothing_spline_tuned,0.08939498638572503,4288,bridge01
5,2.0001362969251533,0.0,0.005,family_a_W5,0.08311800376583628,4288,bridge01
5,2.0001362969251533,0.0,0.005,family_a_W7,0.11497302387289304,4288,bridge01
5,2.001659800100617,0.0,0.02,central,0.3719159299780589,4288,bridge01
5,2.001659800100617,0.0,0.02,savgol_w7p3,0.050278856923743565,4288,bridge01
5,2.001659800100617,0.0,0.02,smoothing_spline_default,0.5182141408016329,4288,bridge01
5,2.001659800100617,0.0,0.02,smoothing_spline_tuned,0.7067344856123187,4288,bridge01
5,2.001659800100617,0.0,0.02,family_a_W5,0.14838634521389032,4288,bridge01
5,2.001659800100617,0.0,0.02,family_a_W7,0.13750817193116732,4288,bridge01
5,2.0,0.05,0.0,central,0.08693682672419675,4288,bridge01
5,2.0,0.05,0.0,savgol_w7p3,0.07144048603863082,4288,bridge01
5,2.0,0.05,0.0,smoothing_spline_default,0.522777351833738,4288,bridge01
5,2.0,0.05,0.0,smoothing_spline_tuned,0.10809249287401189,4288,bridge01
5,2.0,0.05,0.0,family_a_W5,0.08105178118148332,4288,bridge01
5,2.0,0.05,0.0,family_a_W7,0.11533096873280849,4288,bridge01
5,1.9994954182654066,0.05,0.005,central,0.12394040968232106,4288,bridge01
5,1.9994954182654066,0.05,0.005,savgol_w7p3,0.0720392123375623,4288,bridge01
5,1.9994954182654066,0.05,0.005,smoothing_spline_default,0.5203516809593073,4288,bridge01
5,1.9994954182654066,0.05,0.005,smoothing_spline_tuned,0.09942131015211406,4288,bridge01
5,1.9994954182654066,0.05,0.005,family_a_W5,0.08731231804149488,4288,bridge01
5,1.9994954182654066,0.05,0.005,family_a_W7,0.11576726547042157,4288,bridge01
5,2.001529837956122,0.05,0.02,central,0.36963554165700707,4288,bridge01
5,2.001529837956122,0.05,0.02,savgol_w7p3,0.07473415446268555,4288,bridge01
5,2.001529837956122,0.05,0.02,smoothing_spline_default,0.5136586022381998,4288,bridge01
5,2.001529837956122,0.05,0.02,smoothing_spline_tuned,0.6142711012593366,4288,bridge01
5,2.001529837956122,0.05,0.02,family_a_W5,0.1435845557082001,4288,bridge01
