W,degree,rmse_vs_ins,sequence
4,2,0.02394421037135655,riverside05
4,3,0.037815678459705744,riverside05
4,4,0.037819842574082295,riverside05
4,5,0.07102966737843104,riverside05
5,2,0.024542728842792263,riverside05
5,3,0.02840030576311294,riverside05
5,4,0.02840175788787008,riverside05
5,5,0.05024947755293713,riverside05
6,2,0.027114474484589146,riverside05
6,3,0.027268126261259282,riverside05
6,4,0.027268745242240613,riverside05
6,5,0.036532585921381956,riverside05
7,2,0.030871538939745032,riverside05
7,3,0.024194040887360192,riverside05
7,4,0.024194931286687732,riverside05
7,5,0.031575868056503614,riverside05
9,2,0.04031593275672409,riverside05
9,3,0.021457015701652274,riverside05
9,4,0.02145653374571639,riverside05
9,5,0.02765268332787525,riverside05
12,2,0.05771198918165055,riverside05
12,3,0.023342360660808997,riverside05
12,4,0.023342765689933036,riverside05
12,5,0.02150172247362068,riverside05
2,2,0.015478349956477611,roundabout01
2,3,0.024405232031450383,roundabout01
2,4,0.024404749111266978,roundabout01
2,5,0.024404749111266978,roundabout01
3,2,0.019451388597251113,roundabout01
3,3,0.01659986400472851,roundabout01
3,4,0.016600246205581287,roundabout01
3,5,0.027206894735858456,roundabout01
4,2,0.024214788031520686,roundabout01
4,3,0.015533544282901999,roundabout01
4,4,0.015535059131601477,roundabout01
4,5,0.018882871992462042,roundabout01
5,2,0.02843424604843004,roundabout01
5,3,0.017559191374969217,roundabout01
5,4,0.017562515463490764,roundabout01
5,5,0.016187275033266002,roundabout01
6,2,0.03252139629376932,roundabout01
6,3,0.020339994191097444,roundabout01
6,4,0.02034236714720345,roundabout01
6,5,0.01591853161504721,roundabout01
7,2,0.03694353282706581,roundabout01
7,3,0.022488109628546818,roundabout01
7,4,0.02248974850847371,roundabout01
7,5,0.017516405666982867,roundabout01
9,2,0.04739906120615734,roundabout01
9,3,0.025248173145734663,roundabout01
9,4,0.02524897102338821,roundabout01
9,5,0.021325610539028084,roundabout01
12,2,0.06632627759096658,roundabout01
12,3,0.029062918786047096,roundabout01
12,4,0.0290631603269208,roundabout01
12,5,0.024296070423616895,roundabout01
2,2,0.021741365798754093,town01
2,3,0.03317337591206004,town01
2,4,0.03320196846833106,town01
2,5,0.03320196846833106,town01
3,2,0.02372746206115632,town01
3,3,0.023963751458074,town01
3,4,0.023962108746093884,town01
3,5,0.03652418012599185,town01
4,2,0.026749639559010795,town01
4,3,0.022477160395893633,town01
4,4,0.022475876409145272,town01
4,5,0.02650211134651473,town01
5,2,0.029990304016747044,town01
5,3,0.0231564442215176,town01
5,4,0.023154102163577855,town01
5,5,0.02356412063508045,town01
6,2,0.033545615515662194,town01
6,3,0.024233945595156865,town01
6,4,0.024232031491527268,town01
6,5,0.02301762551510263,town01
7,2,0.0374416784222179,town01
7,3,0.025368776016443457,town01
7,4,0.025367312157648616,town01
7,5,0.02338596578935269,town01
9,2,0.04609908032035293,town01
9,3,0.027865418200911155,town01
9,4,0.027864312586569847,town01
9,5,0.024694519393340105,town01
12,2,0.060573400744981375,town01
12,3,0.03249397818890512,town01
12,4,0.032491839759298646,town01
12,5,0.027025096357838244,town01
