ds_factor,effective_hz,noise_sigma,jitter_sigma,method,rmse,n
5,1.999708629973739,0.5,0.005,smoothing_spline_tuned,0.20409294095605143,4828
5,1.999708629973739,0.5,0.005,family_a_W5,0.2801234142457768,4828
5,1.999708629973739,0.5,0.005,family_a_W7,0.19384673851600148,4828
5,1.9987849701380744,0.5,0.02,central,0.7747345822536489,4828
5,1.9987849701380744,0.5,0.02,savgol_w7p3,0.5504552015897369,4828
5,1.9987849701380744,0.5,0.02,smoothing_spline_default,0.4096866197724347,4828
5,1.9987849701380744,0.5,0.02,smoothing_spline_tuned,0.19228568960314507,4828
5,1.9987849701380744,0.5,0.02,family_a_W5,0.2721708059826529,4828
5,1.9987849701380744,0.5,0.02,family_a_W7,0.18805215971836847,4828
10,0.9999997440000443,0.0,0.0,central,0.06361148947621115,2414
10,0.9999997440000443,0.0,0.0,savgol_w7p3,0.07992430549351791,2414
10,0.9999997440000443,0.0,0.0,smoothing_spline_default,0.4348743994060253,2414
10,0.9999997440000443,0.0,0.0,smoothing_spline_tuned,0.10212879486260722,2414
10,0.9999997440000443,0.0,0.0,family_a_W5,0.1360623182958778,2414
10,0.9999997440000443,0.0,0.0,family_a_W7,0.19665207447050623,2414
10,0.9999320788853739,0.0,0.005,central,0.0647590823138405,2414
10,0.9999320788853739,0.0,0.005,savgol_w7p3,0.07988946875666456,2414
10,0.9999320788853739,0.0,0.005,smoothing_spline_default,0.43287802019347893,2414
10,0.9999320788853739,0.0,0.005,smoothing_spline_tuned,0.10177253333996578,2414
10,0.9999320788853739,0.0,0.005,family_a_W5,0.13601689230810785,2414
10,0.9999320788853739,0.0,0.005,family_a_W7,0.19646353609608158,2414
10,1.0008352922146917,0.0,0.02,central,0.08922374007174284,2414
10,1.0008352922146917,0.0,0.02,savgol_w7p3,0.08041286892204358,2414
10,1.0008352922146917,0.0,0.02,smoothing_spline_default,0.4322352287092062,2414
10,1.0008352922146917,0.0,0.02,smoothing_spline_tuned,0.10432293187693459,2414
10,1.0008352922146917,0.0,0.02,family_a_W5,0.13805961501395506,2414
10,1.0008352922146917,0.0,0.02,family_a_W7,0.1973913425873274,2414
10,0.9999997440000443,0.05,0.0,central,0.0731269717432882,2414
10,0.9999997440000443,0.05,0.0,savgol_w7p3,0.08407525940340664,2414
10,0.9999997440000443,0.05,0.0,smoothing_spline_default,0.43565783438895234,2414
10,0.9999997440000443,0.05,0.0,smoothing_spline_tuned,0.11795118358146149,2414
10,0.9999997440000443,0.05,0.0,family_a_W5,0.1364357525329963,2414
10,0.9999997440000443,0.05,0.0,family_a_W7,0.19681236948054173,2414
10,1.0000275386940523,0.05,0.005,central,0.07575634800629123,2414
10,1.0000275386940523,0.05,0.005,savgol_w7p3,0.08402527539602539,2414
10,1.0000275386940523,0.05,0.005,smoothing_spline_default,0.4331168072186253,2414
10,1.0000275386940523,0.05,0.005,smoothing_spline_tuned,0.11813785967960456,2414
