ds_factor,noise_sigma,jitter_sigma,method,median,q1,q3
2,0.05,0.02,smoothing_spline_default,0.5092374633761075,0.5016274327915942,0.5150308178086331
2,0.05,0.02,smoothing_spline_tuned,0.7499838329219559,0.5637641827469569,1.2703840990687785
2,0.2,0.0,central,0.774889689355765,0.7621773442789721,0.7961774320686391
2,0.2,0.0,family_a_W5,0.26957396466119693,0.2662748578689765,0.2864942365271367
2,0.2,0.0,family_a_W7,0.16854831411574586,0.16580073050446237,0.17749264448636615
2,0.2,0.0,savgol_w7p3,0.5643644058134021,0.5533835161116305,0.5928018811395849
2,0.2,0.0,smoothing_spline_default,0.5150501484996388,0.4999862590656951,0.518342337602675
2,0.2,0.0,smoothing_spline_tuned,0.11514381004999298,0.11420615180075994,0.14042723239583502
2,0.2,0.005,central,0.7872464850858285,0.7737322318377113,0.8251239060864317
2,0.2,0.005,family_a_W5,0.2724589661643452,0.2710558557469818,0.28728798566216024
2,0.2,0.005,family_a_W7,0.1708886226424306,0.16977779983844543,0.1789161685537322
2,0.2,0.005,savgol_w7p3,0.5580535541793197,0.5454096041290134,0.5956211891890224
2,0.2,0.005,smoothing_spline_default,0.5088353934152458,0.49849658671208,0.5111520876192143
2,0.2,0.005,smoothing_spline_tuned,0.11227735458688069,0.10918070760220591,0.13340250795194505
2,0.2,0.02,central,0.9341872522429182,0.8647097761647602,1.033550634837614
2,0.2,0.02,family_a_W5,0.3358761340134312,0.295760590857604,0.3643206560555209
2,0.2,0.02,family_a_W7,0.20986114815255863,0.18654902025126346,0.24289758031456082
2,0.2,0.02,savgol_w7p3,0.5658639967331474,0.5448068672954152,0.601504858530102
2,0.2,0.02,smoothing_spline_default,0.5048236820167739,0.49700925689762016,0.5167839635995993
2,0.2,0.02,smoothing_spline_tuned,0.18355552589450497,0.1333088350537456,0.444499342645548
2,0.5,0.0,central,1.931042855665871,1.8673597798780412,1.9924726616556805
2,0.5,0.0,family_a_W5,0.6698446443307289,0.6425090006238686,0.7049570839152794
2,0.5,0.0,family_a_W7,0.41717456753905785,0.39504359951497037,0.44189143797788183
2,0.5,0.0,savgol_w7p3,1.394288928061472,1.3526485389410965,1.4491205687904838
2,0.5,0.0,smoothing_spline_default,0.4696965896898532,0.4671867373401716,0.48068580674776584
2,0.5,0.0,smoothing_spline_tuned,0.20112907382320422,0.17905027476261232,0.20879190780530515
2,0.5,0.005,central,1.959170490398854,1.8813076881766053,2.0143320505758853
2,0.5,0.005,family_a_W5,0.6848631708257968,0.6546955139450452,0.7215885274062634
2,0.5,0.005,family_a_W7,0.42264091015960614,0.4048587038154784,0.4471907555476037
2,0.5,0.005,savgol_w7p3,1.4277844801476594,1.3588685235419273,1.4693099278453021
2,0.5,0.005,smoothing_spline_default,0.4665514246919017,0.46224024257617075,0.4709059817122311
2,0.5,0.005,smoothing_spline_tuned,0.18129975947444743,0.17455330831870208,0.19604945198996
2,0.5,0.02,central,2.0670191509461153,1.9818966519760326,2.1042404811316326
2,0.5,0.02,family_a_W5,0.7180805336847293,0.686064236871463,0.7257640317110858
2,0.5,0.02,family_a_W7,0.4406578016174764,0.42163291124111757,0.45519770663413056
2,0.5,0.02,savgol_w7p3,1.4004863285135531,1.3761439223745346,1.4183166594388947
2,0.5,0.02,smoothing_spline_default,0.46726590403928847,0.4644856385149391,0.47201024604412484
2,0.5,0.02,smoothing_spline_tuned,0.18182372724210774,0.16257460053997086,0.1961406883097534
5,0.0,0.0,central,0.040278779841836795,0.0341642342407018,0.050803945101188464
5,0.0,0.0,family_a_W5,0.07205352842324834,0.06558464889186158,0.08406823877455596
5,0.0,0.0,family_a_W7,0.10972233716194732,0.09552450539175544,0.12965887681390828
5,0.0,0.0,savgol_w7p3,0.043566530974573726,0.037066094583862716,0.05345469815889216
5,0.0,0.0,smoothing_spline_default,0.5121733330444821,0.5027461424100756,0.5215445851121085
5,0.0,0.0,smoothing_spline_tuned,0.07658697765975542,0.055605651431420926,0.09038327689203474
5,0.0,0.005,central,0.07107280164870797,0.05199763868190081,0.09637545660072971
5,0.0,0.005,family_a_W5,0.07584863860574578,0.06660409010409424,0.08619444110980154
5,0.0,0.005,family_a_W7,0.11062250347680225,0.09594747465706907,0.13001837393527182
5,0.0,0.005,savgol_w7p3,0.04365127290675215,0.03716066048104971,0.053722646301175764
5,0.0,0.005,smoothing_spline_default,0.5121419931891391,0.5063608612298492,0.5183316011368775
5,0.0,0.005,smoothing_spline_tuned,0.07766615680603894,0.059070065129449165,0.08887155135221599
5,0.0,0.02,central,0.2072305739678479,0.14968374640952536,0.25646849657093745
5,0.0,0.02,family_a_W5,0.10448703087411262,0.0876959193053063,0.13745152200289573
5,0.0,0.02,family_a_W7,0.12385024452016766,0.10744802477702757,0.14047140396724972
5,0.0,0.02,savgol_w7p3,0.0452677900080799,0.03857827950747052,0.05557439363239247
5,0.0,0.02,smoothing_spline_default,0.5071241199951761,0.5011276550465751,0.515681456029427
5,0.0,0.02,smoothing_spline_tuned,0.3276889101660643,0.2662241191286372,0.44548345935699696
5,0.05,0.0,central,0.08776843540364274,0.08577692532170378,0.08903950309922222
5,0.05,0.0,family_a_W5,0.07699411743572022,0.07086094028295642,0.08772586286186061
5,0.05,0.0,family_a_W7,0.11128690978174718,0.09708102335228733,0.13109707897730172
5,0.05,0.0,savgol_w7p3,0.07087729227918053,0.06921805605689141,0.07417714503533646
5,0.05,0.0,smoothing_spline_default,0.5111290140681803,0.5030386373134438,0.5211121256916744
5,0.05,0.0,smoothing_spline_tuned,0.09956339166555625,0.08672079799491889,0.10821597049332263
5,0.05,0.005,central,0.10242235291645109,0.09613646841504399,0.11901219880664178
5,0.05,0.005,family_a_W5,0.08014338524398709,0.07100763730469531,0.09100531942319434
5,0.05,0.005,family_a_W7,0.11161057774494185,0.09765934979125315,0.13196284356663174
5,0.05,0.005,savgol_w7p3,0.06998370827585933,0.0671048812103893,0.07565287984448393
5,0.05,0.005,smoothing_spline_default,0.5118657903735229,0.5047855431048878,0.5195661338646884
5,0.05,0.005,smoothing_spline_tuned,0.09135136702934421,0.08226689296946385,0.10597836888193564
5,0.05,0.02,central,0.22040731107885986,0.16501543949255398,0.265566085013007
5,0.05,0.02,family_a_W5,0.10831506220317308,0.09084314511018116,0.1353174004716586
5,0.05,0.02,family_a_W7,0.1231474133849342,0.109226357892255,0.1376391672502128
5,0.05,0.02,savgol_w7p3,0.07242382368613637,0.06909322704320553,0.07623920520634367
5,0.05,0.02,smoothing_spline_default,0.5101204236357013,0.5053292916442668,0.5143371592302249
